                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.66022,                 0.6905,                 1.0627,                0.93772,                0.39938,                0.42989,                0.30424,                 1.8181,                 2.4013,                 1.5529,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.70794,                 0.8107,                 1.2208,                0.93772,                0.39938,                0.42989,                0.30424,                 1.8181,                 2.4013,                 1.5529,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.0069,                0.94893,                 1.2273,                0.93772,                0.39938,                0.42989,                0.30424,                 1.8181,                 2.4013,                 1.5529,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.68443,                0.81996,                 1.0328,                0.93772,                0.39938,                0.42989,                0.30424,                 1.8181,                 2.4013,                 1.5529,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.86532,                 1.0716,                 1.4285,                0.93724,                0.39824,                0.42944,                 0.3038,                 1.8381,                 2.4315,                 1.5628,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0276,                 1.1603,                 1.5104,                0.93724,                0.39824,                0.42944,                 0.3038,                 1.8381,                 2.4315,                 1.5628,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.63144,                0.70234,                 1.0146,                0.93724,                0.39824,                0.42944,                 0.3038,                 1.8381,                 2.4315,                 1.5628,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.56125,                0.57345,                0.95425,                0.93724,                0.39824,                0.42944,                 0.3038,                 1.8381,                 2.4315,                 1.5628,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.77487,                0.88148,                 1.0043,                0.94354,                0.39621,                0.42691,                 0.2949,                 1.7868,                 2.4379,                 1.5122,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.42432,                0.53188,                0.98277,                0.94354,                0.39621,                0.42691,                 0.2949,                 1.7868,                 2.4379,                 1.5122,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.59252,                0.56578,                0.91698,                0.94354,                0.39621,                0.42691,                 0.2949,                 1.7868,                 2.4379,                 1.5122,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.48108,                0.57327,                0.95083,                0.94354,                0.39621,                0.42691,                 0.2949,                 1.7868,                 2.4379,                 1.5122,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.47982,                0.56612,                0.98849,                0.93599,                 0.3955,                0.43373,                0.31212,                 1.8276,                 2.4935,                 1.5467,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.70036,                0.79164,                 1.0254,                0.93599,                 0.3955,                0.43373,                0.31212,                 1.8276,                 2.4935,                 1.5467,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.47757,                 0.5491,                0.91358,                0.93599,                 0.3955,                0.43373,                0.31212,                 1.8276,                 2.4935,                 1.5467,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.56553,                0.64138,                0.96268,                0.93599,                 0.3955,                0.43373,                0.31212,                 1.8276,                 2.4935,                 1.5467,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.47542,                0.55098,                0.97459,                0.94391,                0.39531,                0.50964,                0.39326,                 1.7615,                 2.4901,                 1.5181,             2.3444e-06,             2.3444e-06,             2.3444e-06
